proveedor ,dependencia ,numero de expediente,hechos de irregularidad,objeto social ,sentido de resolucion,fecha de notificacion ,fecha de resolucion ,plazo ,monto ,nombre responsable de la informacion ,fecha de actualizacion ,
3R INNOVACIîN Y DISE„O  S.A. DE  C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0041/2013","	LA EMPRESA POR CAUSAS IMPUTABLES A ELLA NO FORMALIZO EL CONTRATO.","	3RINNOVACION@LIVE.COM.MX.","	SANCIONATORIA CON MULTA","	19/08/2014","	06/08/2014","	","	90664.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
A AND P INTERNATIONAL,"	PEMEX GAS Y PETROQUIMICA BASICA","	0002/2016","	LO PREVISTO EN EL NUMERAL 59  FRACCIîN III  DE LA LEY DE PETRîLEOS MEXICANOS","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	06/12/2016","	06/12/2016","	4 A„OS","	1.00","	","	06/12/2018 08:12",
A Y M CONSTRUCTORA  S.A. DE C.V.,"	SECRETARIA DE COMUNICACIONES Y TRANSPORTES","	0121/2006","	PRESENTî INFORMACIîN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	05/04/2007","	23/03/2007","	3 MESES","	72540.00","	HECTOR MANUEL MONTES GAYTAN","	06/12/2018 08:12",
A Y V INDUSTRIAL Y COMERCIAL  S.A. DE C.V.,"	III SERVICIOS  S. A. DE C. V.","	0001/2013","	PRESENTACION DE DOCUMENTACION E INFORMACION FALSA","	DISE„AR  PROYECTAR  PLANEAR  ORGANIZAR  ASESORAR  CALCULAR  SUPERVISAR Y REALIZAR TODA CLASE DE OBRAS Y TRABAJOS DE INGENIERêA  ARQUITECTURA Y SIMILARES. COMPRAR  VENDER  ADMINISTRAR  ARRENDAR O SUBARRENDAR  PROMOVER  PROYECTAR DISE„AR  CONSTRUIR  RECONSTRUIR  REMODELAR  FRACCIONAR  NOTIFICAR  URBANIZAR  SUPERVISAR Y MANTENER TODA CLASE DE OBRAS RELACIONADAS CON BIENES MUEBLES O INMUEBLES  ASê COMO LA ADQUISICIîN DE BIENES MUEBLES  EQUIPO  MAQUINARIA  Y TRANSPORTE RELACIONADOS CON LOS FINES ANTERIORES. <br>LA ADQUISICIîN  ARRENDAMIENTO  O SUBARRENDAMIENTO DE TODA CLASE DE BIENES MUEBLES E INMUEBLES QUE SEAN NECESARIOS PARA EL BUEN FUNCIONAMIENTO DE LA SOCIEDAD","	SANCIONATORIA CON MULTA E INHABILITACIîN","	08/05/2014","	30/04/2014","	3 MESES","	133502.74","	EDUARDO  DE LA LUZ  GARCêA","	06/12/2018 08:12",
A&S CONSTRUCTION GROUP S.A. DE C.V.,"	ADMINISTRACION PORTUARIA INTEGRAL DE DOS BOCAS  S.A. DE C.V.","	0002/2017","	PRESENTî INFORMACIîN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.","	REALIZACIîN DE FLETES Y ACARREOS  LOCALES Y NACIONALES DE MATERIALES PƒTREOS  MAQUINARIA PESADA  PRODUCTOS ASFALTICOS; ASê COMO CUALQUIER OTRO PRODUCTO RELACIONADO A LA CONSTRUCCIîN  ASI COMO TAMBIEN EN LA ESPECIALIZACION DE MANTENIMIENTOS INTEGRALES  RESIDENCIALES  INDUSTRIALES  ESCUELAS Y HOSPITALES  INSTALACIONES ESLECTRICAS  HIDRAULICAS  SANITARIAS Y ESTRUCTURALES  FACHADAS  PINTURAS ESPECIALES...","	SANCIONATORIA CON MULTA E INHABILITACIîN","	24/10/2018","	15/10/2018","	3 MESES","	113235.00","	JOSƒ GUADALUPE FƒLIX DE LA CRUZ","	06/12/2018 08:12",
A+D ARQUITECTOS  S.A. DE C.V.,"	COMISION FEDERAL DE ELECTRICIDAD","	0187/2006","	PRESENTî INFORMACIîN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.","	DISE„O ARQUITECTîNICO Y CONSTRUCCIîN","	SANCIONATORIA CON MULTA E INHABILITACIîN","	06/11/2006","	03/11/2006","	3 MESES","	75438.50","	ALEJANDRO RUIZ SANCHEZ","	06/12/2018 08:12",
A.D.C. Consultores y Servicios  S.A de C.V.,"	INSTITUTO NACIONAL DE ANTROPOLOGIA E HISTORIA","	0007/2005","	LAS DOCUMENTALES QUE PRESENTA LA EMPRESA NO SON COINCIEDENTES  LA DEL SEGURO SOCIAL  RESPECTO DE LA PERSONA QUE LA FIRMA  ASê COMO  DE LA OFICINA QUE LA EMITE; POR LO QUE HACE A LAS FACTURAS DE LA EMPRESA LIMPIA JET ESTAS NO COINCIDEN EN LA FECHA EN QUE SE EMITIERON.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	20/06/2007","	15/06/2007","	3 MESES","	70200.00","	CARLOS ARTURO  ESTRADA MARTINEZ","	06/12/2018 08:12",
AARON VERA MORALES,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0031/2009","	EL CONTRATISTA  EN FORMA INJUSTIFICADA Y POR CAUSAS QUE SîLO A LA MISMA  LE FUERON IMPUTABLES DEJî DE CUMPLIR CON SUS OBLIGACIONES CONTRACTUALES DERIVADAS DEL    CONTRATO NO. JPES/001.","	","	SANCIONATORIA","	27/07/2012","	17/07/2012","	1 MES","	156767.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
AARON VERA MORALES,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0056/2011","	SE CONDUJO CON MALA FE AL FORMALIZAR EL CONTRATO NO. 6BI095  CUYO MONTO CORRESPONDE AL DOBLE DEL MONTO ASENTADO EN SU PROPUESTA ECONOMICA.","	","	SANCIONATORIA CON MULTA E INHABILITACIîN","	19/09/2011","	12/09/2011","	2 A 3 MESES","	657054.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
ABAMCU  S.A. DE C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0070/2015","	LA EMPRESA POR CAUSAS IMPUTABLES A ELLA NO FORMALIZO EL CONTRATO NO. U150432","	LA COMPRA  VENTA  ENAJENACIîN  IMPORTACIîN  EXPORTACIîN  FABRICACIîN Y COMERCIALIZACIîN DE TODO TIPO DE BIENES Y SERVICIOS; PRODUCTOS  MERCANCêAS  PARA LA INDUSTRIA  EL COMERCIO Y EL HOGAR","	SANCIONATORIA CON MULTA","	14/04/2017","	07/04/2017","	","	105150.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
ABASERCOM  S.A. DE C.V.,"	INSTITUTO MEXICANO DEL SEGURO SOCIAL","	0046/2013","	EL PROVEEDOR OMITIî ENTREGAR LA GARANTêA DE CUMPLIMIENTO DEL CONTRATO NO.  D250458.","	","	SANCIONATORIA CON MULTA","	29/01/2016","	21/01/2016","	","	93495.00","	LIC. JORGE PERALTA PORRAS","	06/12/2018 08:12",
